CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro (2)/anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Charlottesville,2964 Hydraulic Rd.,VA,USA,2017-02-11,,70,70,70,77,63,general protesers,Defunding Planned Parenthood,2,protest,0,0,0,0,1,1,http://wmra.org/post/protesters-rally-defund-and-defend-planned-parenthood#stream/0,,http://www.nbc29.com/clip/13096359/dueling-protests-over-planned-parenthood-funding-take-part-in-albe-co,,,,,
Charlottesville,705 Dale Ave.,VA,USA,2017-02-11,,200,350,500,220,450,general protesers,Supporting Planned Parenthood,1,protest,0,0,0,0,0,1,http://www.nbc29.com/clip/13096359/dueling-protests-over-planned-parenthood-funding-take-part-in-albe-co,http://wmra.org/post/protesters-rally-defund-and-defend-planned-parenthood#stream/0,,,,,,
Glen Allen,,VA,USA,2017-02-11,,100,100,100,110,90,general protesters,"Supporting Planned Parenthood, protesting lack of contact with congressman Dave Brat",1,rally,0,0,0,0,1,1,http://wtvr.com/2017/02/11/protesters-grill-with-bratworst-outside-congressmans-office/,,,,,,,
Henrico,West Broad St. and Cox Rd.,VA,USA,2017-02-11,,24,24,24,26.4,21.6,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,1,1,http://www.nbc12.com/story/34482168/people-protest-counter-protest-defunding-of-planned-parenthood,,,,,,,
Roanoke,2207 Peters Creek Rd,VA,USA,2017-02-11,,18,18,18,19.8,16.2,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,1,1,http://wset.com/news/local/protesters-rally-outside-roanoke-planned-parenthood,,,,,,,
Burlington,TD Bank,VT,USA,2017-02-11,,24,24,24,26.4,21.6,general protestors,No DAPL,1,protest,0,0,0,0,1,1,http://www.mynbc5.com/article/dozens-gather-outside-burlingtons-td-bank-to-protest-pipeline/8732701,,,,,,,
Bellingham,1530 Ellis St.,WA,USA,2017-02-11,,,,,,,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,1,1,http://komonews.com/news/local/demonstrators-block-northbound-i-5-in-bellingham,,,,,,,
Bellingham,755 Lakeway Dr.,WA,USA,2017-02-11,,100,100,100,110,90,general protesters,Against Dakota Access Pipeline,1,road blockade,0,0,0,0,0,1,http://komonews.com/news/local/demonstrators-block-northbound-i-5-in-bellingham,http://www.king5.com/news/local/protesters-block-all-nb-lanes-of-i-5-in-bellingham/407047793,,,,,,
Kennewick,Columbia Center Boulevard and Canal Dr,WA,USA,2017-02-11,,50,50,50,55,45,Love not Hate Tri-Cities group,"pro-choice, pro-Planned Parenthood",1,rally,0,0,0,0,1,1,http://www.tri-cityherald.com/news/local/article132255129.html,,,,,,,
Kennewick,Columbia Center Boulevard and Canal Dr,WA,USA,2017-02-11,,150,150,150,165,135,#ProtestPP Coalition,Defunding Planned Parenthood,2,rally,0,0,0,0,0,1,http://www.tri-cityherald.com/news/local/article132255129.html,,,,,,,
Kent,10056 SE 240th St.,WA,USA,2017-02-11,,24,24,24,26.4,21.6,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/ct-planned-parenthood-protests-20170211-story.html,,,,,,,
Kent,10056 SE 240th St.,WA,USA,2017-02-11,,300,300,300,330,270,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,0,1,http://www.chicagotribune.com/news/nationworld/ct-planned-parenthood-protests-20170211-story.html,,,,,,,
Seattle,Cal Anderson Park,WA,USA,2017-02-11,,1100,1100,1100,1210,990,general protesters,LBGTQ rights,1,protest,0,0,0,0,1,1,http://komonews.com/news/local/crowds-gather-for-lgbtq-solidarity-rally-in-capitol-hill,https://www.facebook.com/events/521283337996083/,,,,,,
Wenatchee,Planned Parenthood,WA,USA,2017-02-11,,,,,,,general protestors,Supporting Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.ncwlife.com/pro-life-advocates-rally-front-wenatchee-planned-parenthood/,,,,,,,
Wenatchee,Planned Parenthood,WA,USA,2017-02-11,,100,100,100,110,90,general protestors,Defunding Planned Parenthood,2,protest,0,0,0,0,0,1,http://www.ncwlife.com/pro-life-advocates-rally-front-wenatchee-planned-parenthood/,,,,,,,
Green Bay,CityDeck,WI,USA,2017-02-11,,50,62.5,75,55,67.5,general protestors,against immigration restrictions,1,protest,0,0,0,0,1,1,http://www.greenbaypressgazette.com/story/news/local/2017/02/11/green-bay-immigration-rally-draws-hundreds/97755592/,based on headcount in photo,,,,,,
West Allis,2239 S 108th St.,WI,USA,2017-02-11,,70,70,70,77,63,Pro-Life Wisconsin,Defunding Planned Parenthood,2,protest,0,0,0,0,1,1,http://www.jsonline.com/story/news/local/milwaukee/2017/02/11/protesters-seek-end-planned-parenthood-funding/97788634/,,,,,,,
Sheridan,Main Street at Grinnell Plaza,WY,USA,2017-02-11,,12,12,12,13.2,10.8,general protesters; Real Resistance Wyoming ,"against House Bill 150, which would have provided funds for families to send their children to private schools",1,protest,0,0,0,0,1,1,http://www.sheridanmedia.com/news/protesters-rally-against-education-legislation91305,,,,,,,
Glendale,5771 W. Eugie,AZ,USA,2017-02-12,,200,200,200,220,180,general protesters,Supporting Planned Parenthood,1,protest,0,0,0,0,1,1,http://www.azcentral.com/story/news/local/glendale/2017/02/12/rallies-and-against-abortion-rights-planned-parenthood-glendale-close-clinic-day/97823126/,,http://www.fox10phoenix.com/news/arizona-news/235229583-story,,,,,
Glendale,5771 W. Eugie,AZ,USA,2017-02-12,,200,200,200,220,180,general protesters,Defunding Planned Parenthood,2,protest,0,0,0,0,0,1,http://www.azcentral.com/story/news/local/glendale/2017/02/12/rallies-and-against-abortion-rights-planned-parenthood-glendale-close-clinic-day/97823126/,,http://www.fox10phoenix.com/news/arizona-news/235229583-story,,,,,
Mountain View,Mountain View Center for the Performing Arts,CA,USA,2017-02-12,,200,200,200,220,180,HIAS,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.jweekly.com/2017/02/13/day-of-jewish-action-for-refugees-draws-bay-area-jews-to-protests-in-mountain-view-s-f/,,HIAS Twitter Feed,,,,,
San Francisco,,CA,USA,2017-02-12,,200,200,200,220,180,HIAS,Against Refugee Ban,1,protest,0,0,0,0,1,1,http://www.jweekly.com/2017/02/13/day-of-jewish-action-for-refugees-draws-bay-area-jews-to-protests-in-mountain-view-s-f/,,,,,,,
Denver,Fletcher Plaza,CO,USA,2017-02-12,,120,140,160,132,144,HIAS,Against immigration executive order,1,protest,0,0,0,0,1,1,https://twitter.com/RabbiMarkAsherG/status/830905767159009281,Headcount by CCC member present at protest.,,,,,,
Newark,University of Delaware,DE,USA,2017-02-12,,170,170,170,187,153,general protesters,Against immigration executive order,1,rally; march,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/02/12/refugees-march-university-of-delaware-newark/97826554/,,,,,,,
West Palm Beach,Southern Blvd,FL,USA,2017-02-12,,200,200,200,220,180,general protesters,anti-Trump,1,protest,0,0,0,0,1,1,http://postonpolitics.blog.palmbeachpost.com/2017/02/12/protesters-and-some-supporters-greet-trump-motorcade/,,,,,,,
West Palm Beach,"Southern Blvd, northern side",FL,USA,2017-02-12,,,,,,,general protesters,pro-Trump,2,demonstration,0,0,0,0,0,1,http://www.palmbeachpost.com/news/latest-protesters-supporters-line-southern-trump-leaves-palm-beach/tL82zFSsYVgq3JlxO3lFtK/,,,,,,,
Buffalo Grove,Congregation Beth Am,IL,USA,2017-02-12,,100,100,100,110,90,HIAS,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.dailyherald.com/article/20170212/news/170219680/,,,,,,,
Chicago,Trump Tower,IL,USA,2017-02-12,,200,200,200,220,180,comedy group,general anti-trump,1,mass mooning,0,0,0,0,1,1,http://wsvn.com/news/politics/hundreds-gather-for-protest-in-chicago-to-moon-trump-tower/,,,,,,,
Indianapolis,St. Philip Neri Catholic School,IN,USA,2017-02-12,,200,200,200,220,180,general protesters,Against ICE raids,1,rally,0,0,0,0,1,1,http://indianapublicmedia.org/news/faith-leaders-rally-immigrant-protections-114048/,,,,,,,
Boston,Holocaust Memorial,MA,USA,2017-02-12,,200,200,200,220,180,HIAS; Jewish Community Relations Council,Against immigration executive order,1,protest,0,0,0,0,1,1,http://www.timesofisrael.com/protesters-invoke-holocaust-at-boston-rally-against-trump-immigration-ban/,,,,,,,
Baltimore,Patterson Park,MD,USA,2017-02-12,,100,125,150,110,135,general protesters,Against ICE raids,1,protest,0,0,0,0,1,1,http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-immigration-rally-20170212-story.html,Headcount from photo,,,,,,
New York,Battery Park,NY,USA,2017-02-12,,700,850,1000,770,900,HIAS; ADL,Against immigration executive order,1,demonstration,0,0,0,0,1,1,http://www.jta.org/2017/02/12/news-opinion/united-states/jews-gather-at-rallies-across-the-country-urging-support-for-refugees,http://www.tribecatrib.com/content/jewish-groups-protest-refugee-ban,,,,,,
New York,Trump Tower,NY,USA,2017-02-12,,40,40,40,44,36,general protesters,LGBTQ rights,1,march & rally,0,0,0,0,0,1,http://www.amny.com/news/politics/lgbt-make-out-rally-at-trump-tower-participants-march-through-midtown-1.13110819,,,,,,,
Salt Lake City,State Capitol Building,UT,USA,2017-02-12,,200,200,200,220,180,"Utah Physicians for a Healthy Environment, HEAL Utah, the Mormon Environmental Stewardship Alliance, Utah Rivers Council, Utah Moms for Clean Air and the Sierra Club",clean air,1,rally,0,0,0,0,1,1,http://www.sltrib.com/news/4840088-155/photo-gallery-hundreds-of-utahns-rally,,,,,,,
Mount Vernon,Mount Vernon Courthouse,WA,USA,2017-02-12,,700,700,700,770,630,general protesters,"Immigrant Rights, Farm Worker Rights",1,protest,0,0,0,0,1,1,http://komonews.com/news/local/hundreds-march-in-peaceful-protest-for-farm-worker-immigrant-rights,,,,,,,
Anaheim,CKE Headquarters,CA,USA,2017-02-13,,200,200,200,220,180,Hardee's workers,Against Puzder Nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.ocregister.com/articles/puzder-743912-carl-andy.html,,,,,,,
Los Angeles,960 Wilshire Blvd,CA,USA,2017-02-13,,20,20,20,22,18,"Gender Justice LA, National Queer Asian Pacific Islander Alliance, Mujeres de Maiz",Against Dakota Access Pipeline,1,road blockade,0,0,0,0,1,1,http://www.nbclosangeles.com/news/local/Pipeline-Protest-Blocks-Traffic-in-Downtown-Los-Angeles-413782793.html,,,,,,,
Oakland,3770 Telegraph Ave.,CA,USA,2017-02-13,,60,60,60,66,54,SEIU; Fight for 15,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.ktvu.com/news/235631376-story,,,,,,,
San Francisco,,CA,USA,2017-02-13,,150,150,150,165,135,tech workers,"Against ""Muslim ban""",1,protest,0,0,0,0,1,1,https://www.cnet.com/news/trump-immigration-ban-tech-workers-protest-no-ban-no-wall/,,,,,,,
Washington,Howard University,DC,USA,2017-02-13,,25,25,25,27.5,22.5,students,anti-Trump,1,protest,0,0,0,0,1,1,https://www.insidehighered.com/news/2017/02/14/howard-students-protest-trump-devos,,,,,,,
Orlando,Pine Hills Hardee's,FL,USA,2017-02-13,,17,17,17,18.7,15.3,Florida Fight for $15,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://orlando-politics.com/2017/02/13/activists-protest-donald-trumps-labor-secretary-nominee-in-orlando/,,,,,,,
Honolulu,to the state Capitol,HI,USA,2017-02-13,,2000,4000,6000,2200,5400,teachers,support raising taxes for school funding,1,march; rally,0,0,0,0,1,1,http://www.hawaiinewsnow.com/story/34492744/thousands-of-hawaii-teachers-march-for-more-education-funding-better-pay,,,,,,,
Bel Air,15 Churchville Rd,MD,USA,2017-02-13,,30,30,30,33,27,general protesters,Against repeal of Affordable Care Act,1,march,0,0,0,0,1,1,http://www.baltimoresun.com/news/opinion/editorial/bs-ed-organized-20170218-story.html,,,,,,,
Brighton,U.S. Rep. Mike Bishop's Brighton Office,MI,USA,2017-02-13,,50,50,50,55,45,general protesters,Against repeal of Affordable Care Act,1,protest,0,0,0,0,1,1,http://www.livingstondaily.com/story/news/local/community/brighton/2017/02/28/prosecutor-no-charges-incident-protest-outside-bishops-office/98523208/,,,,,,,
St. Louis,Hardee's HQ,MO,USA,2017-02-13,,200,200,200,220,180,Hardee's workers,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.commondreams.org/news/2017/02/13/notourlaborsec-fast-food-workers-protest-puzder-corporate-offices-and-chains,,,,,,,
Greenville,3741 Charles St.,NC,USA,2017-02-13,,40,40,40,44,36,Fight for 15,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.reflector.com/News/2017/02/14/Group-protests-Trump-choice-for-Labor-Secretary.html,,,,,,,
Las Vegas,,NV,USA,2017-02-13,,200,200,200,220,180,Fast Food Workers,Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.ktnv.com/news/fast-food-workers-protest-labor-secretary-nominee,,,,,,,
Franklin,Public Square,TN,USA,2017-02-13,,50,75,100,55,90,"Nashville Indivisible, Fight for 15",Against Puzder nomination for Secretary of Labor,1,protest,0,0,0,0,1,1,http://www.wmcactionnews5.com/story/34482256/protesters-gather-in-downtown-franklin-to-oppose-labor-secretary-nominee,http://www.tennessean.com/story/news/2017/02/11/protesters-ask-andrew-puzder-stay-home-franklin/97788404/,http://www.newschannel5.com/news/local-news/franklin-protesters-against-labor-secretary-nominee,,,,,
Charlottesville,downtown park statue of Robert E. Lee,VA,USA,2017-02-13,,,,,,,general protesters,against white supremacy,1,protest,0,0,0,0,1,1,http://www.wcyb.com/news/politics/va-gubernatorial-candidate-mobbed-by-protesters/331618692,,,,,,,
Port Townsend,Port Townsend post office,WA,USA,2017-02-13,,60,60,60,66,54,general protesters,against ICE raids,1,protest,0,0,0,0,1,1,http://www.peninsuladailynews.com/news/dozens-gather-in-port-townsend-for-protest-against-raids-deportation/,,,,,,,
Spokane,10 N Post St.,WA,USA,2017-02-13,,100,150,200,110,180,general protesters,Againt repeal of ACA,1,protest,0,0,0,0,1,1,http://www.khq.com/story/34495640/rally-held-outside-cathy-mcmorris-rodgers-office-in-spokane,http://www.king5.com/news/politics/obamacare-supporters-protest-outside-office-of-wa-rep-mcmorris-rodgers/408256473,,,,,,
Milwaukee,S 5th St.,WI,USA,2017-02-13,,10000,15000,20000,11000,18000,Voces de la Frontera,Against Milwaukee Sheriff arresting undocumented immigrants,1,march,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/midwest/ct-milwaukee-immigration-protest-20170213-story.html,,http://www.jsonline.com/story/news/local/milwaukee/2017/02/13/day-without-latinos-rally-march-planned-morning/97843548/,,,,,
Huntington Beach,101 Main St.,CA,USA,2017-02-14,,60,80,100,66,90,Indivisible 48,demanding Rep. Dana Rohrabacher hold a town hall,1,,0,2,0,0,1,1,http://www.usnews.com/news/california/articles/2017-02-14/congressman-claims-staffer-injured-during-oc-protest,http://www.ocregister.com/articles/office-744052-rohrabacher-activists.html,,,,,,
Boulder,Creekside Elementary School,CO,USA,2017-02-14,,320,320,320,352,288,students,anti-Trump,1,kindness march,0,0,0,0,1,1,http://www.dailycamera.com/boulder-county-schools/ci_30803074/creekside-elementary-students-organize-kindness-march,,,,,,,
New Haven,994 Chapel St.,CT,USA,2017-02-14,,50,50,50,55,45,general protesters,Against Dakota Access Pipeline,1,civil disobedience,4,0,0,0,1,1,http://www.newhavenindependent.org/index.php/archives/entry/pipeline_protest/,,,,,,,
Orlando,Walt Disney World,FL,USA,2017-02-14,,24,30,36,26.4,32.4,Organize Florida,Demanding Disney CEO step down from Trump advisory council,1,protest,0,0,0,0,1,1,http://www.orlandosentinel.com/business/os-bz-unions-trump-iger-20170214-story.html,,,,,,,
Winston-Salem,U.S. Senator Richard Burr's office,NC,USA,2017-02-14,,100,100,100,110,90,general protesters,Against repeal of Affordable Care Act,1,protest,0,0,0,0,1,1,http://www.morganton.com/news/state/protesters-stage-valentine-s-day-rally-outside-sen-burr-s/article_0bd47c42-e47a-5dd8-852d-0fe249016da6.html,,,,,,,
Las Cruces,NM State University,NM,USa,2017-02-14,,50,50,50,55,45,students,Love Trumps Hate,1,march,0,0,0,0,1,1,http://www.lcsun-news.com/story/news/2017/02/14/nmsu-students-stage-love-trumps-hate-march/97917072/,,,,,,,
Ithaca,Cornell University,NY,USA,2017-02-14,,15,15,15,16.5,13.5,Cornell University Students,Against speech by Tea Party leader Michael Johns,1,protest,0,0,0,0,1,1,http://cornellsun.com/2017/02/15/students-protest-private-lecture-calling-it-a-safe-space-for-white-supremacy/,,,,,,,
New York,Foley Square,NY,USA,2017-02-14,,200,200,200,220,180,general protesters,Against ICE raids,1,protest,0,0,0,0,1,1,http://pix11.com/2017/02/15/hundreds-gather-to-express-support-for-immigrants-protest-ice-raids/,,,,,,,
Roseburg,Douglas County Fairgrounds,OR,USA,2017-02-14,,100,100,100,110,90,general protesters,Against local LNG pipeline,1,protest,0,0,0,0,1,1,http://www.heraldandnews.com/news/local_news/jordan-cove-lng-updates-roseburg-chamber-amid-protest/article_5dd91bf1-09c1-5085-a19e-bde74ea68aa7.html,,,,,,,
Philadelphia,ICE Offices,PA,USA,2017-02-14,,24,24,24,26.4,21.6,New Sanctuary Movement of Philadelphia,Against arrests of undocumented immigrants,1,protest,0,0,0,0,1,1,http://www.philly.com/philly/news/breaking/Activists-protest-immigration-arrest-in-Philly.html,,,,,,,
Greenville,130 S Main St.,SC,USA,2017-02-14,,24,24,24,26.4,21.6,general protesters,Demanding Sen. Graham hold town halls,1,protest,0,0,0,0,1,1,http://www.greenvilleonline.com/story/news/2017/02/14/valentines-protest-graham-office/97896802/,,,,,,,
Rock Hill,Senator Lindsey Graham's office,SC,USA,2017-02-14,,25,25,25,27.5,22.5,general protesters,Against repeal of Affordable Care Act,1,protest,0,0,0,0,1,1,http://www.heraldonline.com/news/local/article132694719.html,,,,,,,
Woodbridge,1 County Complex Ct.,VA,USA,2017-02-14,,24,24,24,26.4,21.6,general protesters,Against immigration stance of County Commissioner Corey Stewart,1,protest,0,0,0,0,1,1,http://www.wusa9.com/news/local/dozens-protest-corey-stewarts-immigration-policy/408458883,,,,,,,
Arlington,City Hall,WA,USA,2017-02-14,,3,4,5,3.3,4.5,general protesters,Against police shooting,1,protest,0,0,0,0,1,1,http://q13fox.com/2017/02/14/protesters-demonstrate-after-arlington-police-open-fire-on-teenager-who-allegedly-had-a-knife/,,,,,,,
Tacoma,Northwest Detention Center,WA,USA,2017-02-14,,24,24,24,26.4,21.6,Northwest Detention Center Resistance,Against Detention of undocumented immigrant Daneil Medina,1,protest,0,0,0,0,1,1,http://www.thenewstribune.com/news/politics-government/article132808244.html,,,,,,,
Pleasant Hill,,CA,USA,2017-02-15,,20,20,20,22,18,Together We Will-Contra Costa County,Demanding pro-Trump Board of Education Trustee Step Down,1,protest,0,0,0,0,1,1,http://www.eastbaytimes.com/2017/02/15/protesters-demand-school-trustee-resign-for-pro-trump-tweets/,,,,,,,
Stamford,Uconn-Stamford,CT,USA,2017-02-15,,30,30,30,33,27,Resist ,anti-racism,1,protest,0,0,0,0,1,1,http://www.stamfordadvocate.com/local/article/UConn-Stamford-students-rally-against-racism-10935399.php,,,,,,,
Washington,Trump Hotel,DC,USA,2017-02-15,,200,200,200,220,180,IfNotNow,In support of immigrant community; against Netanyahu,1,protest,0,0,0,0,1,1,https://twitter.com/IfNotNowOrg,https://twitter.com/ESMiller59/status/832000293449646080,,,,,,
Boston,Israeli Consulate,MA,USA,2017-02-15,,50,50,50,55,45,Jewish Voice for Peace-Boston,Against Trump policies toward Israel,1,march,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/02/15/protest-targets-trump-netanyahu-policies/6NjmF1h0340fcwxODSpGfP/story.html,,,,,,,
Durham,University of New Hampshire,NH,USA,2017-02-15,,,,,,,student protesters,against global gag rule,1,protest,0,0,0,0,1,1,http://www.fosters.com/news/20170215/students-protest-mexico-city-policy-at-unh,,,,,,,
Westfield,,NJ,USA,2017-02-15,,120,120,120,132,108,New Jersey Citizen Action,Supporting Planned Parenthood,1,rally,0,0,0,0,1,1,http://www.nj.com/union/index.ssf/2017/02/protestors_persist_in_rallies_outside_gop_congress.html,,,,,,,
Las Cruces,Federal Courthouse,NM,USA,2017-02-15,,24,24,24,26.4,21.6,general protesters,Against ICE raids,1,protest,0,0,0,0,1,1,http://nmpolitics.net/index/2017/02/protesters-shut-down-street-after-ice-raid-in-las-cruces/,,,,,,,
Las Cruces,Thomas Branigan Memorial Library,NM,USA,2017-02-15,,20,20,20,22,18,general protesters,against ICE raids,1,protest,0,0,0,0,0,1,http://www.lcsun-news.com/story/news/local/2017/02/15/tour-rallies-affordable-care-act-supporters-las-cruces/97963322/,,,,,,,
Ithaca,Cornell University,NY,USA,2017-02-15,,15,15,15,16.5,13.5,general protesters,against white supremacy,1,protest,0,0,0,0,1,1,http://cornellsun.com/2017/02/15/students-protest-private-lecture-calling-it-a-safe-space-for-white-supremacy/,,,,,,,
Greenville,Furman University,SC,USA,2017-02-15,,75,87.5,100,82.5,90,Students for Solidarity,against immigration ban,1,rally,0,0,0,0,1,1,http://www.greenvilleonline.com/picture-gallery/news/2017/02/15/students-for-solidarity-rally-held-at-furman/97968638/,,,,,,,
Nashville,Tennessee Statehouse,TN,USA,2017-02-15,,20,22.5,25,22,22.5,general protesters,LGBTQ rights,1,protest,0,0,0,0,1,1,http://wkrn.com/2017/02/15/live-330-state-lawmakers-to-discuss-details-of-bathroom-bill-defense-of-marriage-act/,headcount from photo,,,,,,
Del Valle,State Highway 71,TX,USA,2017-02-15,,50,75,100,55,90,general protesters,immigrant rights,1,protest,0,0,0,0,1,1,http://kxan.com/2017/02/15/del-valle-high-school-students-march-down-sh-71/,,,,,,,
Houston,Harris County Jail,TX,USA,2017-02-15,,27,27,27,29.7,24.3,Black Lives Matter,Protesting death of African-American Vincent Young in prison,1,protest,0,0,0,0,1,1,http://www.chron.com/news/houston-texas/article/Former-inmate-s-supporters-question-suicide-ruling-10935747.php#photo-12380009,,,,,,,
Tucson,Federal Building,AZ,USA,2017-02-16,,80,90,100,88,90,Lucha Unida de Padres y Estudiantes,Immigrant Rights,1,march,4,4,3,0,1,1,http://tucson.com/news/local/tucson-police-say-officers-were-assaulted-as-immigration-protest-escalated/article_c396aa8b-3c96-5f05-b964-b19900f2b61a.html,http://www.tucsonnewsnow.com/story/34527160/protest-downtown-escalates-quickly,,,,,,
Fresno,,CA,USA,2017-02-16,,3700,3700,3700,4070,3330,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://www.fresnobee.com/news/local/article133127894.html,countlove,,,,,,
Los Angeles,,CA,USA,2017-02-16,,,,,,,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://abc7.com/politics/businesses-close-in-la-for-a-day-without-immigrants-protest/1759053/,,,,,,,
Napa,,CA,USA,2017-02-16,,800,950,1100,880,990,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://napavalleyregister.com/news/local/a-day-without-immigrants-protest-comes-to-napa/article_e2a1e4b4-de1e-5163-b275-96856f163b63.html,,,,,,,
Napa,La Morenita Market,CA,USA,2017-02-16,,24,24,24,26.4,21.6,general protesters,against ICE raids,1,protest,0,0,0,0,0,1,http://napavalleyregister.com/news/local/a-day-without-immigrants-protest-comes-to-napa/article_e2a1e4b4-de1e-5163-b275-96856f163b63.html,,,,,,,
San Diego,,CA,USA,2017-02-16,,,,,,,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://www.sandiegouniontribune.com/business/sd-fi-immigrant-day-20170216-story.html,,,,,,,
San Francisco,City Hall,CA,USA,2017-02-16,,100,200,300,110,270,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://kron4.com/2017/02/16/day-without-immigrants-protests-being-held-across-bay-area-u-s/,,http://abc7news.com/news/protesters-skip-work-school-to-show-importance-of-immigration/1758863/,,,,,
Ukiah,County Courthouse,CA,USA,2017-02-16,,24,24,24,26.4,21.6,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,https://www.mendovoice.com/2017/02/immigration-protest/,,,,,,,
Ventura County,Ventura College,CA,USA,2017-02-16,,50,50,50,55,45,general protesters,Immigrant Rights,1,rally,0,0,0,0,1,1,http://abc7.com/politics/businesses-close-in-la-for-a-day-without-immigrants-protest/1759053/,,,,,,,
Denver,,CO,USA,2017-02-16,,,,,,,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,https://www.denverite.com/denver-day-without-immigrants-protest-half-empty-classrooms-closed-restaurants-29697/,,,,,,,
Stamford,,CT,USA,2017-02-16,,,,,,,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://www.stamfordadvocate.com/news/article/Stamford-businesses-to-close-in-immigration-10935925.php,,,,,,,
Washington,Mount Pleasant,DC,USA,2017-02-16,,200,200,200,220,180,Many Languages One Voice,Immigrant Rights,1,protest,0,0,0,0,1,1,https://www.washingtonpost.com/local/restaurants-schools-close-in-day-without-immigrants-protest/2017/02/16/ac2af2f8-f44c-11e6-a9b0-ecee7ce475fc_story.html?utm_term=.c2030db22389,,,,,,,
Washington,White House,DC,USA,2017-02-16,,200,200,200,220,180,general protesters,Against Trump Israel policy,1,protest,0,0,0,0,0,1,http://www.middleeasteye.net/news/hundreds-protest-trumps-meeting-netanyahu-1739463824,,,,,,,
Boca Raton,,FL,USA,2017-02-16,,40,40,40,44,36,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://www.palmbeachpost.com/news/exclusive-workers-say-contractor-fired-them-after-immigration-protest/L455Dl6GNAcjiyDpFVVXzJ/,,,,,,,
Bonita Springs,,FL,USA,2017-02-16,,,,,,,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://www.nbc-2.com/story/34536402/bonita-springs-school-staff-claim-they-were-fired-after-protest,,,,,,,
Gainesville,300 Jesse Jewell Parkway,FL,USA,2017-02-16,,50,50,50,55,45,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://www.gainesvilletimes.com/section/6/article/121999/,,,,,,,
Homestead,City Hall,FL,USA,2017-02-16,,24,112,200,26.4,180,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/homestead/article133254579.html,http://www.local10.com/news/hundreds-protest-in-homestead-on-day-without-immigrants,,,,,,
Palm Beach,,FL,USA,2017-02-16,,200,318.5,437,220,393.3,general protesters,Immigrant Rights,1,strike,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/homestead/article133254579.html,,,,,,,
Pensacola,17 Palafox PL,FL,USA,2017-02-16,,50,50,50,55,45,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://www.pnj.com/story/news/local/pensacola/2017/02/16/immigration-protesters-gather-downtown-pensacola/97996004/,,,,,,,
Port Orange,1000 City Center Circle,FL,USA,2017-02-16,,130,135,140,143,126,Indivisible Volusia,anti-Trump,1,protest,,,,,1,1,,,,,,,,
Port Orange,,FL,USA,2017-02-16,,60,65,70,66,63,general protesters,pro-Trump,2,rally,,,,,0,1,,,,,,,,
Atlanta,ICE Headquarters,GA,USA,2017-02-16,,200,200,200,220,180,general protesters,Immigrant Rights,1,protest,0,0,0,0,1,1,http://www.cbs46.com/story/34527885/protesters-march-against-recent-immigration-raids-by-trump-administration,,,,,,,
Des Moines,State Capitol,IA,USA,2017-02-16,,2000,2250,2500,2200,2250,general protesters,Immigrant Rights,1,march,0,0,0,0,1,1,http://www.desmoinesregister.com/story/news/2017/02/16/protesters-march-state-capitol-day-without/97905928/,,,,,,,
